Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2020-09-09,269.1746826171875,271.276685103377,264.4475567268042,267.00486597040225,64837900
2020-09-10,263.80816650390625,273.35928915615955,262.08393128080337,272.1387528026445,69667500
2020-09-11,261.9773864746094,266.59794184126156,258.5385827143709,265.5614555789022,71809000
2020-09-14,266.5398864746094,268.53534914395794,264.4087954871818,265.76493086030206,38525200
2020-09-15,270.3177185058594,271.66418733601284,266.5108430555761,270.2886595162212,41849900
2020-09-16,266.007080078125,271.5769456767523,265.65837224757234,271.1120019026821,42321000
2020-09-17,261.8516540527344,265.803826306042,258.32567066029407,259.1684113168527,81570800
2020-09-18,258.50958251953125,263.56605331431973,254.40242125963064,263.27546343707536,86251100
2020-09-21,259.12957763671875,259.2651764082833,251.96137782768182,254.24746019118726,57168600
2020-09-22,263.94378662109375,264.52496623665274,258.18987193484554,261.53177297041685,41128900
2020-09-23,255.88453674316406,263.808270871674,255.00304120150253,263.624220727726,48837300
2020-09-24,257.07598876953125,260.282292127732,253.03661175477382,253.20129907391356,70631700
2020-09-25,263.0525817871094,263.8662627686986,256.0200131841611,257.5795905700177,55242400
2020-09-28,268.5160217285156,268.5160217285156,263.1592641275407,267.9154199626953,58438300
2020-09-29,267.30511474609375,269.00995777576884,266.7432682960234,267.95410858829325,27050000
2020-09-30,269.13592529296875,272.2841104669219,267.22763955891116,267.49886663759037,49380800
2020-10-01,273.4077453613281,274.0180136149203,271.0732416675465,272.96216439899547,50020200
2020-10-02,265.71649169921875,273.39805581194855,264.873751542491,267.372913026633,75497400
2020-10-05,271.38323974609375,271.7028886034737,267.57636463690346,267.6829044021858,28184600
2020-10-06,266.5398864746094,272.3809795429518,265.6583910916977,270.69549911932614,49704200
2020-10-07,271.1507568359375,271.94504563646274,268.593447834641,269.1843532957188,27539700
2020-10-08,272.59405517578125,273.62084537233886,271.52850981288265,273.5530312216248,25443300
2020-10-09,276.7593994140625,276.83690976508393,273.8533820430434,274.24084511353846,30201100
2020-10-12,285.3030700683594,288.14127299893624,280.4015902734711,281.4477434190828,79370700
2020-10-13,285.29339599609375,287.7441360834774,283.9275643101791,287.10483828810493,64240000
2020-10-14,282.910400390625,287.06601240619915,281.1668022550917,286.09734020611853,36949100
2020-10-15,281.0118103027344,281.60268615345586,277.56333964583695,278.20266684333313,42514200
2020-10-16,279.4716796875,284.0825401453745,279.12294225636333,282.65859055476477,40570700
2020-10-19,274.90924072265625,282.3486679095207,273.93090161001066,281.3896620429748,36756800
2020-10-20,275.50006103515625,278.60949048703657,274.0858079153444,275.6453559513134,32195400
2020-10-21,275.28692626953125,278.3188746702345,274.80259021987325,275.75189951935243,29306100
2020-10-22,275.2773132324219,277.0209412747444,272.02258818520977,276.12005348352017,32196200
2020-10-23,275.81976318359375,275.98445049476885,272.952501224734,275.84882217244405,24658500
2020-10-26,271.68353271484375,276.36220711569626,268.0897666062739,273.5337004338927,38421100
2020-10-27,273.804931640625,274.6283090553703,271.4220059225621,272.68126816050136,30559100
2020-10-28,263.1301574707031,269.9108635632085,262.8782932132911,269.30059528503784,53413500
2020-10-29,267.7313232421875,270.7341834095391,263.98253700077817,264.4475102983985,43246300
2020-10-30,260.94097900390625,266.61738514715535,258.7033480977137,265.7455858888981,65838300
2020-11-02,261.5221862792969,264.95126530521964,258.6064728835072,263.3335989449673,39987400
2020-11-03,266.04583740234375,268.1478692697594,262.3551983580953,263.44010658842643,43604100
2020-11-04,277.9217834472656,279.7234998025476,273.0396665969805,274.70578419723074,75728200
2020-11-05,285.1674499511719,286.1361222422199,282.8523089860315,284.3343764088737,52054200
2020-11-06,285.3804931640625,286.1069972899075,280.7502413844715,284.5086941253542,40959800
2020-11-09,279.5492248535156,289.7687386215906,279.09394754454775,288.32539633145643,86537100
2020-11-10,274.5411376953125,277.679626732516,271.82883730675417,276.23631435258585,69024900
2020-11-11,280.6824645996094,281.15710451532914,274.50233126749833,277.0693066711808,36102900
2020-11-12,279.36517333984375,282.9202148068924,278.25120575652113,281.6512560594013,34414600
2020-11-13,281.8157653808594,282.43572971092203,278.8516311363723,281.0795946908179,24806900
2020-11-16,284.0147705078125,284.31505659852326,280.90531069904125,281.5155790645298,30168400
2020-11-17,283.1138610839844,284.5378106410221,282.4745337765864,284.20846558476273,21843500
2020-11-18,281.0215148925781,284.1793961416166,280.9343379304403,282.56172990828065,28069600
2020-11-19,283.2204284667969,283.53041071580213,279.801016229081,280.4694025203273,22718400
2020-11-20,281.28302001953125,283.88875043435104,281.1958430745388,283.1428539690919,25907300
2020-11-23,281.2928161621094,283.5788690294782,279.04548890970267,282.28085145133076,26875600
2020-11-24,285.24493408203125,285.7389664159662,280.55656368560454,282.35827997860764,24516800
2020-11-25,286.998291015625,287.63761842169316,285.36123210346693,286.31054180851464,23326800
2020-11-27,289.64276123046875,290.76642482953747,288.5675194297025,288.96467868500986,17163100
2020-11-30,290.23358154296875,290.5726227506342,285.54521129167284,289.9623544891428,27836200
2020-12-01,293.9532165527344,295.580608088611,291.40560429206977,292.50990463564585,27521300
2020-12-02,294.3310852050781,294.67012642346486,290.94073214427607,292.7812036078335,23620000
2020-12-03,294.74761962890625,296.2975012915029,294.0211153709579,294.6410798606101,22828700
2020-12-04,295.9487609863281,296.0940854857261,294.11798564616987,294.7960385433814,19332100
2020-12-07,297.6245422363281,297.99264241303973,295.94872863870495,296.1327787270607,20851000
2020-12-08,298.6319885253906,298.9322745703319,295.39662662456385,297.14992110433025,18341500
2020-12-09,291.8706970214844,298.69982605072147,290.8051514014836,298.41893232118207,48839300
2020-12-10,293.0427551269531,294.16641862505844,288.7515436168122,289.83645194283537,27519500
2020-12-11,292.39373779296875,292.5196699210067,289.1196207101117,291.38631033019755,26760400
2020-12-14,294.5151672363281,296.4621786747672,293.5174358384453,293.5852204402451,28804800
2020-12-15,297.66326904296875,297.66326904296875,294.5828691827519,296.77207767049424,25709000
2020-12-16,299.3003845214844,300.0850067369302,297.01430247088257,298.0604851324992,25461900
2020-12-17,301.2570495605469,301.48952142527725,299.69750153209856,300.8986455819111,23730500
2020-12-18,300.3465270996094,302.2063908986977,297.97326817060343,301.8964086719276,41173400
2020-12-21,299.7846374511719,300.3183610169851,294.621953268842,297.3973631952513,37095500
2020-12-22,300.59979248046875,301.5216813289548,297.7758433928853,300.6871274483182,26176300
2020-12-23,299.0859680175781,301.00739680309744,298.9306959595868,300.6483431256061,21201300
2020-12-24,300.4056396484375,300.85202816241014,299.2702556605994,299.3478768571178,16785000
2020-12-28,303.4335021972656,303.90903218446454,301.18210151925376,303.0162251517632,22497700
2020-12-29,303.7051696777344,305.384020951037,302.8026786529743,304.76293275220297,25871900
2020-12-30,303.7149353027344,305.1899756041934,303.09384699783345,304.86974730737415,18138100
2020-12-31,304.4621276855469,304.94734177549776,302.54069884301674,303.61785990745113,21611400
2021-01-04,300.1631774902344,305.9663494318162,296.1553038409504,305.7916498289349,45305900
2021-01-05,302.6377258300781,302.90947415802253,299.1733196453286,299.1733196453286,29323400
2021-01-06,298.4454650878906,302.6571194728593,296.9315996265697,297.9214256235518,52809600
2021-01-07,305.66546630859375,306.500020294038,301.07533054330065,301.10444220290645,30394800
2021-01-08,309.595703125,309.9450726719681,305.76249994264293,307.9556771207618,33955800
2021-01-11,305.1220397949219,307.81011517806013,304.4718398870611,306.63590537861705,32746400
2021-01-12,304.63677978515625,306.24766425141934,301.9972143626177,305.16078959774694,29266800
2021-01-13,306.6941223144531,307.48985089384627,304.2971635876548,304.8988243051713,22898400
2021-01-14,305.0540466308594,308.140000552184,304.5785167742855,307.1404609003671,23500100
2021-01-15,302.6377258300781,305.8013312555718,301.39557891214315,304.84061680935173,35118700
2021-01-19,307.0531005859375,307.5577124410326,303.86038444870917,304.956972732673,24537000
2021-01-20,314.195556640625,315.13687326607675,307.15026739689847,310.6729268263223,30728100
2021-01-21,316.7088317871094,317.45608021565903,314.1566313145356,315.53462233309995,25130600
2021-01-22,315.7967224121094,316.8059463038928,315.10769714459855,315.6705620218577,21609400
2021-01-25,318.4071044921875,320.55177161173157,311.9052549139016,319.1834646310873,39080600
2021-01-26,318.8729553222656,320.0083691925185,317.543473607474,319.12527609679165,25498100
2021-01-27,309.98382568359375,316.6215500084764,307.9750325074136,316.61186586622944,55264000
2021-01-28,311.8179016113281,316.7670898509468,310.56604132137005,311.1871293959602,42836300
2021-01-29,305.25787353515625,311.235714435012,303.51111472813875,310.1294121394821,55259000
2021-02-01,312.88543701171875,313.9723117313327,306.67467355944177,308.70286470856337,35646000
2021-02-02,317.98992919921875,319.1447412126092,315.6900189320008,315.8550047689654,33930800
2021-02-03,316.72833251953125,320.43537502186416,316.6701092019127,320.0666076002027,24824500
2021-02-04,320.47418212890625,320.56151710841505,316.8059649139539,318.1257625951368,22350900
2021-02-05,321.5610656738281,322.5703192674995,319.785195145218,321.42522112926486,22732000
2021-02-08,323.71539306640625,323.87066511645946,321.6095806706244,323.24960653136196,20462800
2021-02-09,323.6474914550781,324.9090361637729,322.7740824558569,322.78379621388433,17597500
2021-02-10,322.9099426269531,325.53979442343336,319.7560513766523,325.08369204263147,28068700
2021-02-11,324.68585205078125,325.09344492282906,322.2986069862676,324.44324500233137,22046100
2021-02-12,326.5006103515625,326.66556657656395,322.79356717232974,323.8416166959518,20346800
2021-02-16,325.6174621582031,328.18909077277544,324.45293655928316,327.29628386492135,27080800
2021-02-17,324.0550537109375,325.7339050132803,320.40626413257564,322.63823695362333,31360300
2021-02-18,322.63824462890625,323.99683810078176,318.64976957687827,320.46449507390537,32236200
2021-02-19,321.2310791015625,324.11325156462794,320.2121415057278,323.9870911810246,39157700
2021-02-22,312.9049377441406,318.10641978743934,312.7011560710216,316.8448747051075,47256900
2021-02-23,311.97332763671875,313.642465642269,301.80322750811945,307.62579781374234,97241900
2021-02-24,314.5448303222656,314.8553743878626,306.6164205834435,309.31420922120384,58206300
2021-02-25,303.57904052734375,314.447848204512,302.0360632444185,311.8859331584665,110182600
2021-02-26,304.85028076171875,309.67327972261444,301.68667585309566,306.50970442910506,104739800
2021-03-01,314.020751953125,314.3604076317863,308.5378403922498,309.8284964330326,49164500
2021-03-02,308.9842834472656,314.7389146435511,308.7319922939717,314.6612934306407,48370000
2021-03-03,300.017578125,308.82905292300126,299.9593548037117,307.8877364086836,86301100
2021-03-04,295.107177734375,302.81237886774767,291.2351496528969,299.6487739285468,139131600
2021-03-05,299.5517272949219,300.45421828563053,288.65383910417154,297.72731779857696,121523700
2021-03-08,291.07025146484375,300.89098060936055,290.6529744252727,299.0083474365051,88409800
2021-03-09,302.55035400390625,304.4524143771918,297.84380147433825,298.37752507610935,80391100
2021-03-10,301.6866760253906,307.1113652549474,300.99768040417115,306.81053492955095,76798100
2021-03-11,308.6349182128906,310.4010746013173,305.53925063601315,306.43202777915434,53484800
2021-03-12,306.1312255859375,308.8193302488684,302.1816059141172,304.57853477670074,69315600
2021-03-15,309.4015197753906,309.5665055519443,304.8114146812217,306.45144023031384,42955700
2021-03-16,311.099853515625,314.6128284107204,309.6636387601218,311.59478136522023,54925900
2021-03-17,312.380859375,314.27320637895815,306.34479425080616,308.062471270894,78258700
2021-03-18,302.8124084472656,308.47970529373805,302.35630603181596,307.4995633846593,82718100
2021-03-19,303.8798522949219,305.4228293330054,300.5027520361212,302.64738972382185,78446200
2021-03-22,309.57861328125,311.6482406884883,306.27499618187716,306.27499618187716,56194800
2021-03-23,308.2279968261719,311.98829200966463,307.4118112528378,310.66685717260526,53455400
2021-03-24,303.0296325683594,309.6368954739455,302.8838904448759,309.5980210235108,64803700
2021-03-25,302.5050048828125,304.0208122934493,298.67671568016254,301.183569771648,78729000
2021-03-26,307.04266357421875,307.3632963466623,300.8921068098596,302.2912612875947,63519600
2021-03-29,306.9551696777344,308.0045427830383,303.61267807932626,306.50821721181995,54608000
2021-03-30,305.4101867675781,305.9834588710033,302.70899076791363,304.99238280868605,44635700
2021-03-31,310.0838623046875,311.648210590427,306.85796477633806,307.1980495153089,55032500
2021-04-01,315.36962890625,315.50564499647913,313.65950901183203,313.9121484469208,55685600
2021-04-05,321.666015625,322.43363051799207,317.6142354184013,317.85714889633965,42172500
2021-04-06,321.4425354003906,323.39553948505943,320.6651945249432,321.35509011175077,33537200
2021-04-07,322.2198486328125,323.05548637256453,320.0336274456141,320.9664068494458,32046400
2021-04-08,325.5817565917969,325.76637319412697,324.2797440007736,325.07650726845895,29940800
2021-04-09,327.55426025390625,327.7583289403284,323.48305734200534,324.22149420599413,36664900
2021-04-12,327.12664794921875,327.54445190282576,325.24163749281007,326.5145014042746,25833000
2021-04-13,330.94525146484375,331.4116262566293,328.4383683489273,328.65213334600145,30374000
2021-04-14,326.97119140625,331.31448456932304,326.15500586820826,331.18816484572426,42564300
2021-04-15,331.9266357421875,332.3153209787676,326.6894372527501,329.84731205858145,36342800
2021-04-16,332.3153076171875,332.52907262770344,330.4399933489032,332.4513237225054,40860100
2021-04-19,329.27410888671875,331.89755686829136,327.35022331154426,330.74131590047676,34533100
2021-04-20,326.8739929199219,329.89582139922226,324.9015372872475,328.61326117612714,38081800
2021-04-21,329.6723937988281,329.8570103749385,324.5031889727736,325.5914363777287,36598100
2021-04-22,325.6983947753906,330.26515025266417,324.5421242776872,329.28379999053425,45936100
2021-04-23,329.7987976074219,331.11050672128755,326.32998588036173,326.32998588036173,36381900
2021-04-26,331.9460754394531,332.22786332972856,329.29345002638655,330.0416423916849,30812000
2021-04-27,330.5080261230469,332.4513336759121,329.55582439975575,332.2375686589961,33187200
2021-04-28,329.39068603515625,331.18825175670855,328.7396648475038,330.17772335525063,33615700
2021-04-29,330.5760803222656,333.0829342558484,327.350182362288,332.66513020900504,37708900
2021-04-30,328.4092712402344,330.61494443026567,327.49591426024745,328.12751297701004,38263400
2021-05-03,326.6602783203125,330.3622767552804,326.21332589564315,329.6141140387122,29729700
2021-05-04,320.78179931640625,324.42550106130835,316.9631773518331,324.1048387023454,65147000
2021-05-05,319.7032775878906,323.6967904869496,318.925966338487,322.83200429340394,46219300
2021-05-06,322.1130065917969,322.26847478023615,317.196440035939,319.44095826132957,46814300
2021-05-07,324.7266540527344,327.1071876477294,322.28779395979643,324.89181856394026,53324500
2021-05-10,316.52593994140625,323.5218292571474,316.32187130096383,323.34693869607077,60700500
2021-05-11,316.0887145996094,316.88547788084816,309.97700352184944,310.6377506820967,71963600
2021-05-12,307.9073791503906,313.4749363063745,307.0425930569889,311.1526992022475,91164900
2021-05-13,310.28790283203125,313.2611609143748,307.9170653261402,310.85147860856483,69877800
2021-05-14,317.1381530761719,318.05148052642306,312.95029719076473,313.4555762321036,44370000
2021-05-17,315.2142028808594,317.11863596612653,312.3381160262185,315.4279678962224,39395000
2021-05-18,313.08624267578125,317.39066126149027,312.81418083780795,316.1663978168686,36528500
2021-05-19,313.4457092285156,313.7469194511375,307.33400021150266,307.6838109022164,66319100
2021-05-20,319.5088806152344,320.3639406356853,314.70893850500914,314.9323998836372,46466100
2021-05-21,317.74053955078125,321.48138320510816,317.3810323655102,321.06357916019977,50330400
2021-05-24,323.0846252441406,324.2117472478319,317.63363182600995,320.03361797772294,32475800
2021-05-25,323.5315246582031,325.3193638580735,322.35583201667487,324.60034962891825,31280300
2021-05-26,324.6586608886719,325.1250356947649,323.5121166203355,324.20198245602694,25444900
2021-05-27,323.44415283203125,325.0571018536406,323.2401138170907,324.21176771064876,27931700
2021-05-28,324.46429443359375,326.05782064398926,324.143661777974,324.6489109982741,29927400
2021-06-01,323.3858337402344,326.2716467918246,322.0352206878219,325.7955162529955,31145400
2021-06-02,324.01739501953125,324.8627290841215,322.2975784623484,323.8036299966734,22047900
2021-06-03,320.6456604003906,322.4529217076234,318.97441516614265,321.18005797338645,37057800
2021-06-04,326.0870666503906,326.5340191579672,322.3753415005607,322.4433643926446,38736500
2021-06-07,327.0586853027344,327.11698216036723,324.8627381568233,325.55260407382696,32611900
2021-06-08,327.21417236328125,329.6724555104515,325.5332004644364,328.80766931810535,27282800
2021-06-09,327.2918701171875,329.3614975041773,327.10725351865176,328.58418630693745,21485300
2021-06-10,330.7023620605469,330.80922974058655,327.18498020530035,327.6319326307272,33702100
2021-06-11,331.56707763671875,331.5768036618948,330.06102636021313,330.7120176916643,21222800
2021-06-14,334.7444763183594,334.75417269311424,330.80926044650096,331.99467932594035,27827700
2021-06-15,332.5581359863281,334.7054819159615,331.8390922335121,334.3945456797444,35963800
2021-06-16,331.3436279296875,334.0933947722833,327.88454323215615,333.0245698033794,55399500
2021-06-17,335.5509338378906,336.5614621350719,330.28458662594215,330.3331574569754,59722700
2021-06-18,332.917724609375,335.0359226391547,332.1695322543703,333.8893783462485,55414900
2021-06-21,334.9867858886719,335.3078201810338,330.8913869859347,333.1093260479514,32992600
2021-06-22,338.1094665527344,338.5569374570642,334.4809830868212,334.7825427926649,28941600
2021-06-23,338.27484130859375,339.42274540269887,337.43826393326384,338.0511206875687,27188500
2021-06-24,340.36639404296875,341.89363781111194,339.665990462022,340.21074550421133,32581600
2021-06-25,339.9479675292969,341.17368082800033,339.3448481876853,340.93048562980766,28682800
2021-06-28,344.08233642578125,344.2185400064888,341.1737309280916,341.2320954092753,39130300
2021-06-29,345.3274841308594,345.35666637054663,343.07065499224,343.90723232121877,29426000
2021-06-30,344.7828063964844,345.56104910725645,344.19913178513633,345.17191290840844,32724000
2021-07-01,344.9189758300781,345.4248112767706,343.0804054395295,344.43258531663196,29290000
2021-07-02,348.8780822753906,349.19908684210503,346.5823044008209,346.8157622675222,32727200
2021-07-06,350.38604736328125,350.66816221118927,346.7867452071131,349.48136801200803,38842400
2021-07-07,351.12530517578125,352.88603636745694,349.1700059141301,352.58447663983867,35265200
2021-07-08,349.0046081542969,349.8606601338512,344.77303480273366,346.05708308514676,50890000
2021-07-09,351.1836853027344,351.66033850241126,347.83731622114647,348.42099077015286,35184500
2021-07-12,352.5553283691406,353.0125366594105,351.00858034371095,352.5845106137569,25717700
2021-07-13,352.5553283691406,355.5222987571774,351.6992762778334,352.1759295022067,39723000
2021-07-14,353.1876220703125,355.54173558078384,352.36075224248384,354.8996965269494,35336400
2021-07-15,350.7069396972656,353.30427761673343,348.7030135306895,353.1000019515352,53391600
2021-07-16,347.8664245605469,352.5454978947028,347.5162080307777,351.56297977405853,47262000
2021-07-19,345.0162048339844,345.5123028914568,342.457786391463,344.4130557565104,64404600
2021-07-20,349.0240478515625,350.47348181147095,344.16985124566145,345.9500568175087,42183700
2021-07-21,351.71856689453125,351.71856689453125,348.3721991077879,348.59594934295654,30259900
2021-07-22,354.0435791015625,354.05328672232565,351.92289442505717,351.92289442505717,30252200
2021-07-23,358.1778259277344,358.4599109249027,354.01432618053735,355.36647576652194,31960800
2021-07-26,358.4600830078125,358.8492191810334,356.6215422431084,357.4873019486043,28438100
2021-07-27,354.5105285644531,358.1973764077353,350.3567648989363,358.1973764077353,57933100
2021-07-28,355.8724365234375,357.44836657574496,353.35293746326454,355.6487159079305,42066200
2021-07-29,356.5047912597656,357.6721106466066,355.3082599435065,355.3082599435065,25672500
2021-07-30,354.64678955078125,355.23046410998177,352.5455789498122,352.5747611934261,36484600
2021-08-02,354.6759033203125,356.8938424675399,353.9657626135782,356.31016802102414,27334100
2021-08-03,356.82574462890625,356.94247358211703,352.14667107057375,355.3373911016371,35558500
2021-08-04,357.3412780761719,358.2946139009511,355.6778313016614,356.7867859223642,29602200
